one_answer_id,source_question_id,source_choice_no,exam_type,license_type,section_no,section_name,topic,question_text,answer,explanation,source_exam_id,source_question_file,conversion_type,quality_status,conversion_note
oa_past_500_011,h20_2_freight_q005,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車が動力伝達装置の故障により運行できなくなった。,○,動力伝達装置の故障により運行不能となった事故は報告対象である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_012,h20_2_freight_q004,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務前又は乗務後の点呼のいずれかが対面で行うことができない乗務を行う運転者に対し、当該乗務の途中において少なくとも１回電話その他の方法により点呼を行い、所定事項について報告を求め、事業用自動車の運行の安全を確保するために必要な指示をしなければならない。,×,中間点呼が必要なのは、乗務前及び乗務後のいずれも対面で行えない運行の場合である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_013,h20_2_freight_q005,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車が踏切において鉄道車両と接触したが、負傷者は生じなかった。,○,踏切で鉄道車両と接触した事故は、負傷者がなくても報告対象である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_014,h20_2_freight_q004,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,運転者に対し、点呼を行い、報告を求め、指示をしたときは、運転者ごとに点呼を行った旨、報告及び指示の内容並びに所定の事項を記録し、かつ、その記録を３年間保存しなければならない。,×,点呼記録の保存期間は１年であり、３年ではない。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_015,h20_2_freight_q005,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,運転者がくも膜下出血により、事業用自動車の運転を継続することができなくなった。,○,運転者の疾病により運転継続不能となった場合は報告対象である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_016,h20_2_freight_q005,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車が走行中、出会い頭による衝突事故を起こし、双方の乗員４名に14日から30日間の通院による医師の治療を要する傷害が生じた。,×,通院による14日から30日の治療を要する傷害だけでは、事故報告規則上の重傷者に該当せず、報告を要しない。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_017,h20_2_freight_q006,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事故惹起運転者に対する特別な指導は、当該交通事故を引き起こした後再度トラックに乗務する前に実施する。ただし、やむを得ない事情がある場合には、再度乗務を開始した後１ヵ月以内に実施する。なお、外部の専門的機関における指導講習を受講する予定である場合は、この限りでない。,○,事故惹起運転者への特別指導は、原則として再度乗務する前に実施する。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_018,h20_2_freight_q006,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事故惹起運転者、初任運転者に対する特別な指導は、安全運転の実技２時間を含む所定の事項について合計６時間以上実施する。,×,事故惹起運転者及び初任運転者への特別指導は、所定事項について実施するものであり、「安全運転の実技２時間を含む合計６時間以上」とする記述が誤りである。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_019,h20_2_freight_q006,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,初任運転者に対する特別な指導は、当該事業者において初めてトラックに乗務する前に実施する。ただし、やむを得ない事情がある場合には、乗務を開始した後１ヵ月以内に実施する。,○,初任運転者への特別指導は、原則として初めて乗務する前に実施する。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_020,h20_2_freight_q008,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,記録・帳票,雇入れの年月日及び事業用自動車に初めて乗務した年月日は、運転者台帳の法定記載事項である。,×,雇入れ年月日は記載事項だが、「事業用自動車に初めて乗務した年月日」は法定記載事項ではない。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_021,h20_2_freight_q006,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,高齢運転者に対する特別な指導は、国土交通大臣が認定した高齢運転者のための適性診断の結果を踏まえ、個々の運転者の加齢に伴う身体機能の変化の程度に応じたトラックの安全な運転方法等について運転者が自ら考えるよう指導する。この場合、特別な指導は当該適性診断の結果が判明した後１ヵ月以内に実施する。,○,高齢運転者には適性診断結果を踏まえた特別指導を行う。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_022,h21_1_freight_q001,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業者は、運賃及び料金を定め又は変更するときは、あらかじめ所定の事項を記載した運賃料金設定（変更）届出書を所轄地方運輸局長に提出しなければならない。,×,運賃及び料金は、定め又は変更した後に届け出る制度であり、「あらかじめ」提出するとする点が誤りである。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_023,h20_2_freight_q008,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,記録・帳票,貨物自動車運送事業輸送安全規則第10条第２項の規定に基づく指導の実施及び適性診断の受診の状況は、運転者台帳の法定記載事項である。,○,特別指導の実施及び適性診断の受診状況は記載事項である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_024,h21_1_freight_q003,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車について、構造及び装置並びに運行する道路の状況、走行距離その他事業用自動車の使用の条件を考慮して、定期に行う点検の基準を作成し、これに基づいて点検をし、必要な整備をすることは、運行管理者の業務である。,×,定期点検基準の作成や整備は整備管理・使用者側の事項であり、運行管理者の業務としては不適切である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_025,h20_2_freight_q008,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,記録・帳票,運転者が転任、退職その他の理由により運転者でなくなった場合には、運転者でなくなった年月日及び理由は、運転者台帳の法定記載事項である。,○,運転者でなくなった年月日及び理由は記載事項である。,h20_2_freight,213k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_026,h21_1_freight_q003,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,過労運転防止・改善基準,休憩又は睡眠のための時間及び勤務が終了した後の休息のための時間が十分に確保されるように、国土交通大臣が告示で定める基準に従って、運転者の勤務時間及び乗務時間を定め、当該運転者にこれらを遵守させることは、運行管理者の業務である。,×,勤務時間・乗務時間の設定と遵守は事業者の義務である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_027,h21_1_freight_q001,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業者は、国土交通大臣から輸送の安全に係る処分を受けたときは、遅滞なく、当該処分の内容並びに当該処分に基づき講じた措置及び講じようとする措置の内容をインターネットの利用その他の適切な方法により公表しなければならない。,○,輸送の安全に係る処分を受けた場合の公表義務に関する記述として正しい。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_028,h21_1_freight_q003,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,運行管理者の職務及び権限、統括運行管理者を選任しなければならない営業所にあってはその職務及び権限並びに事業用自動車の運行の安全の確保に関する業務の処理基準に関する規程（運行管理規程）を定めることは、運行管理者の業務である。,×,運行管理規程を定めることは事業者の義務である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_029,h21_1_freight_q003,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,自動車事故報告規則第５条（事故警報）の規定により定められた事故防止対策に基づき、事業用自動車の運行の安全の確保について、従業員に対する指導及び監督を行うことは、運行管理者の業務である。,○,事故警報に基づく事故防止対策により、従業員へ指導監督することは運行管理者の業務である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_030,h21_1_freight_q004,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務前の点呼は、対面（運行上やむを得ない場合は電話その他の方法）により行い、疾病、疲労、飲酒その他の理由により安全な運転をすることができないおそれの有無及び道路運送車両法の規定による日常点検整備の実施又はその確認について報告を求め、事業用自動車の運行の安全を確保するために必要な指示をしなければならない。,×,乗務前点呼では、日常点検の実施又は確認の報告を求めるため、記述は法令に定めがある。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_031,h21_1_freight_q004,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務後の点呼は、対面（運行上やむを得ない場合は電話その他の方法）により行い、当該乗務に係る事業用自動車、道路及び運行の状況並びに他の運転者と交替した場合にあっては交替した運転者に対して行った当該乗務に係る事業用自動車、道路及び運行の状況についての通告について報告を求めなければならない。,○,乗務後点呼で報告を求める事項として法令に定めがある。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_032,h21_1_freight_q004,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務前又は乗務後の点呼のいずれかが対面で行うことができない乗務を行う運転者に対し、当該点呼のほかに、当該乗務の途中において少なくとも１回電話その他の方法により点呼を行い、所定事項について報告を求め、事業用自動車の運行の安全を確保するために必要な指示をしなければならない。,×,中間点呼が必要なのは、乗務前及び乗務後のいずれも対面で行えない運行の場合である。「いずれかが対面で行えない」だけで必要とする点は法令に定めがない。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_033,h21_1_freight_q004,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,点呼を行い、報告を求め、指示をしたときは、運転者ごとに点呼を行った旨、報告及び指示の内容並びに所定の事項を記録し、かつ、その記録を１年間保存しなければならない。,○,点呼記録の保存期間は１年間であり、法令に定めがある。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_034,h21_1_freight_q005,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車が右折の際、原動機付自転車と衝突し、原動機付自転車の運転者に通院による30日間の医師の治療を要する傷害を生じさせた。,×,通院30日間の治療を要する傷害だけでは、事故報告規則上の重傷者に該当せず、報告を要しない。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_035,h21_1_freight_q005,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,運転者が心筋梗塞により、事業用自動車の運転を継続することができなくなった。,○,運転者の疾病により運転継続不能となった場合は報告対象である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_036,h21_1_freight_q007,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,車両総重量が８トン以上又は最大積載量が５トン以上の普通自動車である事業用自動車に乗務した場合にあっては、積載している貨物の荷主の氏名又は名称を記録しなければならない。,×,一定の大型貨物自動車で記録するのは貨物の積載状況等であり、荷主の氏名又は名称は法令上の記録事項ではない。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_037,h21_1_freight_q005,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車が走行中、動力伝達装置（クラッチ）の故障により運行できなくなった。,○,動力伝達装置の故障により運行不能となった事故は報告対象である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_038,h21_1_freight_q008,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,運行管理者の業務,当該営業所が運行を管理する事業用自動車の車両数が120両（うち、被けん引自動車０両）で、現在５名の運行管理者が選任されている営業所において、70両（うち、被けん引自動車20両）増車する場合には、運行管理者を２名以上追加選任しなければならない。,×,増車後は170両相当となり必要数は５名で、既に５名選任されているため２名以上の追加は不要である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_039,h21_1_freight_q005,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事業用自動車がガードレールに衝突し、積載していた高圧ガスの一部が漏洩した。,○,高圧ガスの漏えいを伴う事故は報告対象である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_040,h21_2_freight_q001,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,国土交通大臣が標準運送約款を定めて公示した場合において、一般貨物自動車運送事業者が、標準運送約款と同一の運送約款を定めたときは、遅滞なくこれを国土交通大臣に届け出なければならない。,×,標準運送約款と同一の運送約款を定めた場合は、認可を受けたものとみなされ、届出を要しない。遅滞なく届け出るとする点が誤りである。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_041,h21_1_freight_q006,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,高齢運転者に対する特別な指導は、国土交通大臣が認定した高齢運転者のための適性診断の結果を踏まえ、個々の運転者の加齢に伴う身体機能の変化の程度に応じたトラックの安全な運転方法等について運転者が自ら考えるよう指導する。この指導は、適性診断の結果が判明した後１ヵ月以内に実施する。,○,高齢運転者への特別指導は、適性診断結果を踏まえて行う。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_042,h21_2_freight_q002,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,運行管理者の業務,乗務員が有効に利用することができるように、休憩に必要な施設を整備し、及び乗務員に睡眠を与える必要がある場合にあっては睡眠に必要な施設を整備し、並びにこれらの施設を適切に管理し、及び保守することは、運行管理者の業務である。,×,休憩・睡眠施設の整備、管理、保守は事業者の義務である。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_043,h21_1_freight_q007,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,道路交通法に規定する交通事故若しくは自動車事故報告規則に規定する事故又は著しい運行の遅延その他の異常な状態が発生した場合にあっては、その概要及び原因を記録しなければならない。,○,事故や著しい遅延等が発生した場合、その概要及び原因は乗務等の記録事項である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_044,h21_2_freight_q003,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,道路交通法,国土交通大臣は、事業者が過積載による運送を行ったことにより、貨物自動車運送事業法の規定による処分をする場合において、過積載による運送が荷主の指示に基づき行われたことが明らかであると認められるときは、当該荷主に対しても、過積載による運送の再発防止を図るため適当な措置を執るべきことを命令することができる。,×,荷主に対して行えるのは、再発防止のため適当な措置をとるべきことの勧告であり、命令とする点が誤りである。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_045,h21_1_freight_q007,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,乗務等の記録は運行記録計による記録に代えることができる。この場合において、当該記録すべき事項のうち運行記録計により記録された事項以外の事項を運転者ごとに運行記録計による記録に付記させなければならない。,○,運行記録計による記録で代える場合、記録計で記録されない事項は付記させる必要がある。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_046,h21_2_freight_q004,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務途中の他の運転者から乗務を引き継いだ運転者に対しては、乗務後の点呼において、当該運転者が他の運転者から受けた法令の規定による通告の内容について報告を求めなければならない。,×,報告を求めるのは、交替した運転者に対して行った通告の内容であり、他の運転者から受けた通告内容とする点が誤りである。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_047,h21_1_freight_q007,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,休憩又は睡眠をした場合にあっては、その地点及び日時を記録しなければならない。,○,休憩又は睡眠をした地点及び日時は記録事項である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_048,h21_2_freight_q007,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,雇入れの年月日及び事業用自動車に初めて乗務した年月日を記載しなければならない。,×,雇入れ年月日は記載事項だが、事業用自動車に初めて乗務した年月日は法定記載事項ではないため誤りである。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_049,h21_1_freight_q008,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,運行管理者の業務,事業用自動車130両（うち、被けん引自動車20両）の運行を管理する営業所には、運行管理者は４名以上必要である。,○,130両から被けん引20両を除くと110両で、４名以上必要となる。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_050,h21_2_freight_q008,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,運行管理者の業務,事業者は、運輸支局長等から運行管理者について研修を行う旨の通知を受けたときは、運行管理者又は補助者に当該研修を受けさせなければならない。,×,研修通知を受けた場合に受講させるべき対象は運行管理者であり、補助者でもよいとする点が誤りである。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_051,h21_1_freight_q008,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,運行管理者の業務,運行車（特別積合せ貨物運送に係る運行系統に配置する事業用自動車）20両（うち、被けん引自動車０両）の運行を管理する営業所には、運行管理者は１名以上必要である。,○,この記述は、運行管理者の業務に関する正しい内容です。重要語句や数値をあわせて確認してください。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_052,h22_1_freight_q002,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,運行管理者の職務及び権限、統括運行管理者を選任しなければならない営業所にあってはその職務及び権限並びに事業用自動車の運行の安全の確保に関する業務の処理基準に関する規程( 運行管理規程 ) を定めることは、運行管理者の業務である。,×,運行管理規程を定めることは事業者の義務であり、運行管理者の業務としては誤りである。,h22_1_freight,228k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_053,h21_1_freight_q008,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,運行管理者の業務,事業用自動車30両（うち、被けん引自動車０両）の運行を管理する営業所には、運行管理者は２名以上必要である。,○,30両の営業所には２名以上必要である。,h21_1_freight,218k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_054,h22_1_freight_q003,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,過労運転防止・改善基準,事業者は、休憩又は睡眠のための時間及び勤務が終了した後の休息のための時間が十分に確保されるように、国土交通大臣が告示で定める基準に従って、運転者の勤務日数及び乗務距離を定め、当該運転者にこれらを遵守させなければならない。,×,定めるべきものは運転者の勤務時間及び乗務時間であり、勤務日数及び乗務距離ではないため誤りである。,h22_1_freight,228k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_055,h21_2_freight_q001,1,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業を経営しようとする者は、国土交通大臣の許可を受けなければならない。,○,一般貨物自動車運送事業の経営には国土交通大臣の許可が必要である。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_056,h22_1_freight_q004,3,運行管理者試験,貨物,1,貨物自動車運送事業法関係,点呼・酒気帯び確認,乗務後の点呼においては、当該乗務に係る運転者の健康状態、道路及び運行の状況について報告を求めなければならない。,×,乗務後点呼で報告を求めるのは、事業用自動車、道路及び運行の状況等であり、運転者の健康状態は乗務前点呼の確認事項であるため誤りである。,h22_1_freight,228k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_057,h21_2_freight_q001,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業者は、その業務を行う場合には、事業計画に定めるところに従わなければならない。,○,事業者は事業計画に従って業務を行う必要がある。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_058,h22_1_freight_q006,2,運行管理者試験,貨物,1,貨物自動車運送事業法関係,事故報告・事故時の措置,事故惹起運転者に対する特別な指導は、やむを得ない事情がある場合及び外部の専門的機関における指導講習を受講する予定である場合を除き、当該交通事故を引き起こした後、再度トラックに乗務を開始した後１ヵ月以内に実施する。,×,事故惹起運転者への特別指導は、原則として再度乗務する前に実施する必要がある。「再度乗務を開始した後１ヵ月以内」とする点が誤りである。,h22_1_freight,228k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
oa_past_500_059,h21_2_freight_q001,4,運行管理者試験,貨物,1,貨物自動車運送事業法関係,貨物自動車運送事業法,一般貨物自動車運送事業者は、運賃及び料金（個人（事業として又は事業のために運送契約の当事者となる場合におけるものを除く。）を対象とするものに限る。）、運送約款その他国土交通省令で定める事項を主たる事務所その他の営業所において公衆に見やすいように掲示しなければならない。,○,運賃料金や運送約款等を営業所で掲示する義務に関する記述として正しい。,h21_2_freight,223k_mk.pdf,choice_to_tf,checked,元の選択式過去問を選択肢ごとに○×化。
